Epoch 33  | Train Loss: -4.09662 | Corr: 4.09662
Epoch 33  | Eval Loss: -3.94810 | Corr: 3.94810
Epoch 34  | Train Loss: -4.03863 | Corr: 4.03863
Epoch 34  | Eval Loss: -4.12318 | Corr: 4.12318
Epoch 35  | Train Loss: -4.18954 | Corr: 4.18954
Epoch 35  | Eval Loss: -4.18312 | Corr: 4.18312
Epoch 36  | Train Loss: -4.06921 | Corr: 4.06921
Epoch 36  | Eval Loss: -4.07226 | Corr: 4.07226
Epoch 37  | Train Loss: -3.96110 | Corr: 3.96110
Epoch 37  | Eval Loss: -4.35370 | Corr: 4.35370
Epoch 38  | Train Loss: -4.21952 | Corr: 4.21952
Epoch 38  | Eval Loss: -4.05487 | Corr: 4.05487
Epoch 39  | Train Loss: -4.06996 | Corr: 4.06996
Epoch 39  | Eval Loss: -4.07200 | Corr: 4.07200
Epoch 40  | Train Loss: -4.14403 | Corr: 4.14403
Epoch 40  | Eval Loss: -4.14692 | Corr: 4.14692
Epoch 41  | Train Loss: -4.22662 | Corr: 4.22662
Epoch 41  | Eval Loss: -4.33686 | Corr: 4.33686
Epoch 42  | Train Loss: -4.17421 | Corr: 4.17421
Epoch 42  | Eval Loss: -4.29770 | Corr: 4.29770
Epoch 43  | Train Loss: -4.15135 | Corr: 4.15135
Epoch 43  | Eval Loss: -4.13920 | Corr: 4.13920
Epoch 44  | Train Loss: -4.26199 | Corr: 4.26199
Epoch 44  | Eval Loss: -4.08030 | Corr: 4.08030
Epoch 45  | Train Loss: -4.12891 | Corr: 4.12891
Epoch 45  | Eval Loss: -4.30492 | Corr: 4.30492
Epoch 46  | Train Loss: -4.13855 | Corr: 4.13855
Epoch 46  | Eval Loss: -4.04637 | Corr: 4.04637
Epoch 47  | Train Loss: -4.14817 | Corr: 4.14817
Epoch 47  | Eval Loss: -4.14297 | Corr: 4.14297
Epoch 48  | Train Loss: -4.18242 | Corr: 4.18242
Epoch 48  | Eval Loss: -4.28247 | Corr: 4.28247
Epoch 49  | Train Loss: -4.22463 | Corr: 4.22463
Epoch 49  | Eval Loss: -4.28478 | Corr: 4.28478
Epoch 50  | Train Loss: -4.15569 | Corr: 4.15569
Epoch 50  | Eval Loss: -4.53000 | Corr: 4.53000
Epoch 51  | Train Loss: -4.34208 | Corr: 4.34208
Epoch 51  | Eval Loss: -3.92299 | Corr: 3.92299
Epoch 52  | Train Loss: -4.36973 | Corr: 4.36973
Epoch 52  | Eval Loss: -4.45665 | Corr: 4.45665
Epoch 53  | Train Loss: -4.19948 | Corr: 4.19948
Epoch 53  | Eval Loss: -4.38422 | Corr: 4.38422
Epoch 54  | Train Loss: -4.06749 | Corr: 4.06749
Epoch 54  | Eval Loss: -4.47423 | Corr: 4.47423
Epoch 55  | Train Loss: -4.17741 | Corr: 4.17741
Epoch 55  | Eval Loss: -4.18561 | Corr: 4.18561
Epoch 56  | Train Loss: -4.21770 | Corr: 4.21770
Epoch 56  | Eval Loss: -4.54200 | Corr: 4.54200
Epoch 57  | Train Loss: -4.31847 | Corr: 4.31847
Epoch 57  | Eval Loss: -4.19439 | Corr: 4.19439
Epoch 58  | Train Loss: -4.27880 | Corr: 4.27880
Epoch 58  | Eval Loss: -4.26740 | Corr: 4.26740
Epoch 59  | Train Loss: -4.39316 | Corr: 4.39316
Epoch 59  | Eval Loss: -4.76120 | Corr: 4.76120
Epoch 60  | Train Loss: -4.22311 | Corr: 4.22311
Epoch 60  | Eval Loss: -4.53069 | Corr: 4.53069
Epoch 61  | Train Loss: -4.51532 | Corr: 4.51532
Epoch 61  | Eval Loss: -4.28825 | Corr: 4.28825
Epoch 62  | Train Loss: -4.35856 | Corr: 4.35856
Epoch 62  | Eval Loss: -4.50677 | Corr: 4.50677
Epoch 63  | Train Loss: -4.48935 | Corr: 4.48935
Epoch 63  | Eval Loss: -4.35136 | Corr: 4.35136
Epoch 64  | Train Loss: -4.35133 | Corr: 4.35133
Epoch 64  | Eval Loss: -3.44080 | Corr: 3.44080
Epoch 65  | Train Loss: -4.36031 | Corr: 4.36031
Epoch 65  | Eval Loss: -4.52337 | Corr: 4.52337
Epoch 66  | Train Loss: -4.23714 | Corr: 4.23714
Epoch 66  | Eval Loss: -4.14698 | Corr: 4.14698
Epoch 67  | Train Loss: -4.51151 | Corr: 4.51151
Epoch 67  | Eval Loss: -4.49561 | Corr: 4.49561
Epoch 68  | Train Loss: -4.58289 | Corr: 4.58289
Epoch 68  | Eval Loss: -4.71170 | Corr: 4.71170
Epoch 69  | Train Loss: -4.37515 | Corr: 4.37515
Epoch 69  | Eval Loss: -4.54961 | Corr: 4.54961
Epoch 70  | Train Loss: -4.31900 | Corr: 4.31900
Epoch 70  | Eval Loss: -4.42069 | Corr: 4.42069
Epoch 71  | Train Loss: -4.45441 | Corr: 4.45441
Epoch 71  | Eval Loss: -4.34797 | Corr: 4.34797
Epoch 72  | Train Loss: -4.52678 | Corr: 4.52678
Epoch 72  | Eval Loss: -4.58904 | Corr: 4.58904
Epoch 73  | Train Loss: -4.59375 | Corr: 4.59375
Epoch 73  | Eval Loss: -4.37826 | Corr: 4.37826
Epoch 74  | Train Loss: -4.32276 | Corr: 4.32276
Epoch 74  | Eval Loss: -4.85506 | Corr: 4.85506
Epoch 75  | Train Loss: -4.52974 | Corr: 4.52974
Epoch 75  | Eval Loss: -4.70371 | Corr: 4.70371
Epoch 76  | Train Loss: -4.39412 | Corr: 4.39412
Epoch 76  | Eval Loss: -3.94337 | Corr: 3.94337
Epoch 77  | Train Loss: -4.53386 | Corr: 4.53386
Epoch 77  | Eval Loss: -4.35202 | Corr: 4.35202
Epoch 78  | Train Loss: -4.41176 | Corr: 4.41176
Epoch 78  | Eval Loss: -4.75722 | Corr: 4.75722
Epoch 79  | Train Loss: -4.47436 | Corr: 4.47436
Epoch 79  | Eval Loss: -4.58595 | Corr: 4.58595
Epoch 80  | Train Loss: -4.38368 | Corr: 4.38368
Epoch 80  | Eval Loss: -4.79028 | Corr: 4.79028
Epoch 81  | Train Loss: -4.45442 | Corr: 4.45442
Epoch 81  | Eval Loss: -4.37445 | Corr: 4.37445
Epoch 82  | Train Loss: -4.49550 | Corr: 4.49550
Epoch 82  | Eval Loss: -4.37525 | Corr: 4.37525
Epoch 83  | Train Loss: -4.51877 | Corr: 4.51877
Epoch 83  | Eval Loss: -4.45499 | Corr: 4.45499
Epoch 84  | Train Loss: -4.54733 | Corr: 4.54733
Epoch 84  | Eval Loss: -4.78809 | Corr: 4.78809
Epoch 85  | Train Loss: -4.72639 | Corr: 4.72639
